[INFO ] [2022-08-19 18:10:45,437] Login_01 - Step 01: Click to My Account Link
[INFO ] [2022-08-19 18:10:46,693] Login_01 - Step 02: Enter to Email Address textbox with empty data
[INFO ] [2022-08-19 18:10:46,798] Login_01 - Step 03: Enter to Password textbox with empty data
[INFO ] [2022-08-19 18:10:46,889] Login_01 - Step 04: Enter to Login Button
[INFO ] [2022-08-19 18:10:47,218] Login_01 - Step 05: Verify Email Address Empty Error Message
[INFO ] [2022-08-19 18:10:47,279] Login_01 - Step 05: Verify PassWord Empty Error Message
[INFO ] [2022-08-19 18:10:47,360] Login_02 - Step 01: Click to My Account Link
[INFO ] [2022-08-19 18:10:48,526] Login_02 - Step 02: Enter to Email Address textbox with empty data
[INFO ] [2022-08-19 18:10:48,592] Login_02 - Step 03: Enter to Password textbox with empty data
[INFO ] [2022-08-19 18:10:48,716] Login_02 - Step 04: Enter to Login Button
[INFO ] [2022-08-19 18:10:49,038] Login_01 - Step 05: Verify Email Address Invalid Error Message
[INFO ] [2022-08-19 20:43:32,105] Login_01 - Step 01: Click to My Account Link
[INFO ] [2022-08-19 20:43:33,368] Login_01 - Step 02: Enter to Email Address textbox with empty data
[INFO ] [2022-08-19 20:43:33,467] Login_01 - Step 03: Enter to Password textbox with empty data
[INFO ] [2022-08-19 20:43:33,596] Login_01 - Step 04: Enter to Login Button
[INFO ] [2022-08-19 20:43:33,981] Login_01 - Step 05: Verify Email Address Empty Error Message
[INFO ] [2022-08-19 20:43:34,219] ----------------------------Passed-------------------------
[INFO ] [2022-08-19 20:43:34,220] Login_01 - Step 05: Verify PassWord Empty Error Message
[INFO ] [2022-08-19 20:43:34,355] ----------------------------Passed-------------------------
[INFO ] [2022-08-19 20:43:34,367] Login_02 - Step 01: Click to My Account Link
[INFO ] [2022-08-19 20:43:35,450] Login_02 - Step 02: Enter to Email Address textbox
[INFO ] [2022-08-19 20:43:35,531] Login_02 - Step 03: Enter to Password textbox
[INFO ] [2022-08-19 20:43:35,649] Login_02 - Step 04: Enter to Login Button
[INFO ] [2022-08-19 20:43:35,979] Login_01 - Step 05: Verify Email Address Invalid Error Message
[INFO ] [2022-08-19 20:43:36,024] ----------------------------Passed-------------------------
[INFO ] [2022-08-19 20:43:36,032] Login_03 - Step 01: Click to My Account Link
[INFO ] [2022-08-19 20:43:37,077] Login_03 - Step 02: Enter to Email Address textbox
[INFO ] [2022-08-19 20:43:37,147] Login_03 - Step 03: Enter to Password textbox
[INFO ] [2022-08-19 20:43:37,277] Login_03 - Step 04: Enter to Login Button
[INFO ] [2022-08-19 20:43:38,945] Login_03 - Step 05: Verify Email not exist in application
[INFO ] [2022-08-19 20:43:39,004] ----------------------------Passed-------------------------
[INFO ] [2022-08-19 20:43:39,018] Login_04 - Step 01: Click to My Account Link
[INFO ] [2022-08-19 20:43:40,141] Login_04 - Step 02: Enter to Email Address textbox
[INFO ] [2022-08-19 20:43:40,205] Login_04 - Step 03: Enter to Password textbox, less than 6 characters
[INFO ] [2022-08-19 20:43:40,291] Login_04 - Step 04: Enter to Login Button
[INFO ] [2022-08-19 20:43:40,680] Login_04 - Step 05: Verify Password invalid error message
[INFO ] [2022-08-19 20:43:40,755] ----------------------------Passed-------------------------
[INFO ] [2022-08-19 20:43:40,763] Login_05 - Step 01: Click to My Account Link
[INFO ] [2022-08-19 20:43:41,829] Login_05 - Step 02: Enter to Email Address textbox
[INFO ] [2022-08-19 20:43:41,888] Login_05 - Step 03: Enter to Password textbox
[INFO ] [2022-08-19 20:43:41,936] Login_05 - Step 04: Enter to Login Button
[INFO ] [2022-08-19 20:43:43,496] Login_05 - Step 05: Verify Password invalid error message
[INFO ] [2022-08-19 20:43:43,547] ----------------------------Passed-------------------------
[INFO ] [2022-08-19 20:43:43,568] Login_05 - Step 01: Click to My Account Link
[INFO ] [2022-08-19 20:43:44,734] Login_05 - Step 02: Enter to Email Address textbox
[INFO ] [2022-08-19 20:43:44,800] Login_05 - Step 03: Enter to Password textbox
[INFO ] [2022-08-19 20:43:44,870] Login_05 - Step 04: Enter to Login Button
[INFO ] [2022-08-19 20:43:46,513] Login_05 - Step 05: Verify Login success
[INFO ] [2022-08-19 20:43:46,568] ----------------------------Failed-------------------------
[INFO ] [2022-08-19 20:44:54,844] Login_01 - Step 01: Click to My Account Link
[INFO ] [2022-08-19 20:44:56,462] Login_01 - Step 02: Enter to Email Address textbox with empty data
[INFO ] [2022-08-19 20:44:56,557] Login_01 - Step 03: Enter to Password textbox with empty data
[INFO ] [2022-08-19 20:44:56,702] Login_01 - Step 04: Enter to Login Button
[INFO ] [2022-08-19 20:44:57,189] Login_01 - Step 05: Verify Email Address Empty Error Message
[INFO ] [2022-08-19 20:44:57,373] ----------------------------Passed-------------------------
[INFO ] [2022-08-19 20:44:57,373] Login_01 - Step 05: Verify PassWord Empty Error Message
[INFO ] [2022-08-19 20:44:57,520] ----------------------------Passed-------------------------
[INFO ] [2022-08-19 20:44:57,537] Login_02 - Step 01: Click to My Account Link
[INFO ] [2022-08-19 20:44:59,088] Login_02 - Step 02: Enter to Email Address textbox
[INFO ] [2022-08-19 20:44:59,226] Login_02 - Step 03: Enter to Password textbox
[INFO ] [2022-08-19 20:44:59,381] Login_02 - Step 04: Enter to Login Button
[INFO ] [2022-08-19 20:44:59,709] Login_01 - Step 05: Verify Email Address Invalid Error Message
[INFO ] [2022-08-19 20:44:59,759] ----------------------------Passed-------------------------
[INFO ] [2022-08-19 20:44:59,776] Login_03 - Step 01: Click to My Account Link
[INFO ] [2022-08-19 20:45:00,986] Login_03 - Step 02: Enter to Email Address textbox
[INFO ] [2022-08-19 20:45:01,057] Login_03 - Step 03: Enter to Password textbox
[INFO ] [2022-08-19 20:45:01,227] Login_03 - Step 04: Enter to Login Button
[INFO ] [2022-08-19 20:45:02,681] Login_03 - Step 05: Verify Email not exist in application
[INFO ] [2022-08-19 20:45:02,730] ----------------------------Passed-------------------------
